product_id,reporting_date,country_code,units,price,sales,cogs,discounts,refunds,advertising_fees,returns,sde,fees
17,2022-01-01,us,48,31.429791666999996,1508.63,-254.48,-121.2,-24.36,-305.42,3.0,385.53,-428.24
3,2022-01-01,de,1,46.21,46.21,-16.12,0.0,,-2.05,,15.79,-12.25
32,2022-01-01,de,39,21.330512821,831.89,-178.62,-3.58,,-79.76,,269.24,-300.69
9,2022-01-01,de,6,8.048333332999999,48.29,-8.82,-2.51,,-12.27,,4.89,-19.799999999999997
5,2022-01-01,nl,1,17.15,17.15,-5.47,-0.52,,-0.44,,4.91,-5.8100000000000005
30,2022-01-01,us,1,21.09,21.09,-7.14,0.0,,-6.36,,1.86,-5.73
12,2022-01-01,de,1,25.2,25.2,-3.53,0.0,,-2.05,,12.6,-7.02
10,2022-01-01,es,1,15.99,15.99,-3.07,0.0,,-0.07,,5.08,-7.77
33,2022-01-01,de,4,9.12,36.48,-3.52,-2.5,,-8.18,,14.48,-7.8
34,2022-01-01,us,6,11.421666667,68.53,-15.4,0.0,,-38.18,,-9.58,-24.53
22,2022-01-01,nl,1,24.79,24.79,-4.67,0.0,,-0.44,,11.92,-7.76
20,2022-01-01,us,2,26.365,52.73,-12.71,0.0,,-12.73,,8.86,-18.43
7,2022-01-01,es,1,16.52,16.52,-5.18,0.0,,-0.07,,3.12,-8.15
13,2022-01-01,us,3,43.95,131.85,-48.61,0.0,,-19.09,,31.76,-32.39
11,2022-01-01,de,2,15.12,30.24,-3.88,0.0,,-4.09,,11.83,-10.440000000000001
22,2022-01-01,de,6,30.025,180.15,-28.02,-3.35,,-12.27,,84.73,-51.78
32,2022-01-01,it,1,24.58,24.58,-4.58,0.0,,-2.06,,4.99,-12.950000000000001
25,2022-01-01,de,16,23.81875,381.1,-117.76,-4.02,,-32.72,,117.48,-109.12
35,2022-01-01,de,3,26.88,80.64,-11.88,0.0,,-6.14,,40.66,-21.96
22,2022-01-01,us,10,27.035,270.35,-48.27,-6.68,,-63.63,,81.92,-69.85000000000001
10,2022-01-01,de,2,13.44,26.88,-6.14,0.0,,-4.09,,6.81,-9.84
24,2022-01-01,de,22,33.959545455,747.11,-243.54,-6.7,,-45.0,,262.23,-189.64
15,2022-01-01,us,3,43.95,131.85,-41.7,0.0,,-19.09,,37.87,-33.19
18,2022-01-01,us,15,27.602666666999998,414.04,-91.92,-18.53,-23.2,-95.44,,50.69,-134.26
37,2022-01-01,de,11,21.68,238.48,-77.66,-6.43,,-22.5,,61.82,-70.07
34,2022-01-01,it,1,8.19,8.19,-2.09,0.0,,-2.06,,0.9,-3.14
38,2022-01-01,de,5,42.01,210.05,-61.05,0.0,,-10.23,,88.17,-50.6
34,2022-01-01,fr,9,8.595555556,77.36,-18.81,-1.24,,-8.35,,20.25,-28.71
22,2022-01-01,it,1,24.58,24.58,-4.67,0.0,,-2.06,,8.56,-9.29
7,2022-01-01,de,5,21.0,105.0,-25.9,0.0,,-10.23,,44.12,-24.75
34,2022-01-01,es,2,8.26,16.52,-4.18,0.0,,-0.15,,0.01,-12.18
20,2022-01-01,de,8,29.58625,236.69,-46.88,-1.25,,-16.36,,98.28,-73.92
33,2022-01-01,fr,2,8.33,16.66,-1.76,0.0,,-1.86,,6.66,-6.38
43,2022-01-01,de,6,15.098333333,90.59,-35.88,0.0,,-12.27,,11.12,-31.32
8,2022-01-01,de,4,21.23,84.92,-22.28,0.0,,-8.18,,34.66,-19.8
26,2022-01-01,us,33,31.114545455,1026.78,-192.36,-67.51,-27.07,-209.98,,220.19,-309.67
14,2022-01-01,us,2,43.95,87.9,-29.22,0.0,,-12.73,,23.83,-22.12
4,2022-01-01,de,6,21.775,130.65,-33.18,-0.55,-42.1,-12.27,,12.85,-29.7
21,2022-01-01,us,17,30.763529411999997,522.98,-71.0,-29.54,-24.36,-108.17,2.0,141.42,-148.49
11,2022-01-01,it,1,15.57,15.57,-1.94,0.0,,-2.06,,5.11,-6.46
34,2022-01-01,de,61,8.611639344,525.31,-127.49,-24.32,,-124.76,,94.9,-153.84
36,2022-01-01,de,4,16.46,65.84,-8.88,-1.68,,-8.18,,25.62,-21.48
8,2022-01-01,fr,2,18.32,36.64,-11.14,-2.77,,-1.86,,7.85,-13.02
1,2022-01-01,de,1,46.21,46.21,-15.27,0.0,-48.63,-2.05,,-31.99,-12.25
34,2022-01-01,nl,1,9.51,9.51,-2.09,-1.03,,-0.44,,2.69,-3.26
32,2022-01-01,fr,2,24.89,49.78,-9.16,0.0,,-1.86,,12.78,-25.98
